term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],specification,bandwidth_m
C(boundary_school_name)[T.GREENWOOD PRIMARY SCHOOL],-0.1770041648718111,0.014394968596578194,-12.296252241487103,9.487497560053331e-35,-0.20521778487968945,-0.14879054486393273,uncontrolled,100
C(boundary_school_name)[T.HAIG GIRLS' SCHOOL],0.14959136801700273,0.01917896907844092,7.799760633910109,6.202471120256655e-15,0.11200127936265118,0.18718145667135427,uncontrolled,100
C(boundary_school_name)[T.HENRY PARK PRIMARY SCHOOL],0.22370871690135097,0.02830618471634421,7.903174487947852,2.718885634041403e-15,0.16822961431757819,0.2791878194851237,uncontrolled,100
C(boundary_school_name)[T.HOLY INNOCENTS' PRIMARY SCHOOL],0.02239087894898617,0.015265928598117666,1.4667223683822963,0.14245159539174498,-0.007529791293884491,0.052311549191856835,uncontrolled,100
C(boundary_school_name)[T.HONG WEN SCHOOL],0.17370822566452243,0.0160088954853754,10.850731446351814,1.9783576139468043e-27,0.14233136708092078,0.20508508424812408,uncontrolled,100
C(boundary_school_name)[T.HORIZON PRIMARY SCHOOL],0.03633682105763436,0.013359556148741672,2.7199122974648304,0.006529923288742048,0.010152572156660055,0.06252106995860866,uncontrolled,100
C(boundary_school_name)[T.HOUGANG PRIMARY SCHOOL],0.09634142684754365,0.01542414760853816,6.246142690842318,4.207128624266122e-10,0.06611065304257926,0.12657220065250804,uncontrolled,100
C(boundary_school_name)[T.HUAMIN PRIMARY SCHOOL],-0.14317492048405328,0.014784493671904573,-9.684127414936974,3.522031480900203e-22,-0.1721519956106466,-0.11419784535745998,uncontrolled,100
C(boundary_school_name)[T.INNOVA PRIMARY SCHOOL],-0.056063514155213705,0.015199837593424127,-3.6884284987010876,0.00022564341547885863,-0.08585464840918296,-0.02627237990124445,uncontrolled,100
C(boundary_school_name)[T.JIEMIN PRIMARY SCHOOL],-0.1112952759127058,0.014826392688607979,-7.506564695148048,6.069914628534333e-14,-0.14035447160302542,-0.08223608022238618,uncontrolled,100
C(boundary_school_name)[T.JING SHAN PRIMARY SCHOOL],-0.09310201339859742,0.0170162454758426,-5.47136050257216,4.4659379650833384e-08,-0.12645324168334154,-0.05975078511385328,uncontrolled,100
C(boundary_school_name)[T.JUNYUAN PRIMARY SCHOOL],0.11970324841464394,0.01371100131276611,8.73045269882587,2.5365527219078585e-18,0.09283017964964096,0.14657631717964692,uncontrolled,100
C(boundary_school_name)[T.JURONG PRIMARY SCHOOL],-0.008600793504353388,0.015223875609138123,-0.5649542682279121,0.5721048702305873,-0.03843904140338189,0.02123745439467511,uncontrolled,100
C(boundary_school_name)[T.JURONG WEST PRIMARY SCHOOL],-0.12205808721254369,0.016090474954021317,-7.585735508822816,3.306062196855296e-14,-0.15359483861656925,-0.09052133580851812,uncontrolled,100
C(boundary_school_name)[T.KEMING PRIMARY SCHOOL],0.16105179328917962,0.016662287945913585,9.665646987494144,4.2194523878668854e-22,0.1283943090151531,0.19370927756320613,uncontrolled,100
C(boundary_school_name)[T.KHENG CHENG SCHOOL],-0.011569091667178538,0.015825382023290892,-0.7310465965467254,0.4647506918570039,-0.04258627047441629,0.01944808714005922,uncontrolled,100
