OBJECTID,STATION_NA,EXIT_CODE,INC_CRC,FMEL_UPD_D,STATION_NAME_ENGLISH,lines_present,line_count,lines_present_json,is_tagged
17809,BRAS BASAH MRT STATION,Exit D,D53EA9E82E6BE2E5,20251202172807,BRAS BASAH MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
17810,BRAS BASAH MRT STATION,Exit E,6010EED2184D4748,20251202172807,BRAS BASAH MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
17811,ESPLANADE MRT STATION,Exit A,E51530AE6521B581,20251202172807,ESPLANADE MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
17812,BUKIT BATOK MRT STATION,Exit C,C429C4E74FC7D20E,20251202172807,BUKIT BATOK MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17813,CHINATOWN MRT STATION,Exit D,FCD3F9C4B46D59AD,20251202172807,CHINATOWN MRT STATION,"['Downtown Line', 'North East Line']",2,"[""Downtown Line"", ""North East Line""]",True
17814,BUKIT BATOK MRT STATION,Exit D,E14204E5225118FF,20251202172807,BUKIT BATOK MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17815,BUKIT BATOK MRT STATION,Exit A,400A184FD3289B7A,20251202172807,BUKIT BATOK MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17816,TAMPINES MRT STATION,Exit G,4857FF7FA81FC41A,20251202172807,TAMPINES MRT STATION,"['Downtown Line', 'East-West Line']",2,"[""Downtown Line"", ""East-West Line""]",True
17817,BEDOK RESERVOIR MRT STATION,Exit A,2B5A7B2D633B3BD5,20251202172807,BEDOK RESERVOIR MRT STATION,['Downtown Line'],1,"[""Downtown Line""]",True
17818,SENJA LRT STATION,Exit A,C46382A21331EA45,20251202172807,SENJA LRT STATION,['Bukit Panjang LRT'],1,"[""Bukit Panjang LRT""]",True
17819,YISHUN MRT STATION,Exit B,C2D55B079B8AA456,20251202172807,YISHUN MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17820,YISHUN MRT STATION,Exit E,C551A20E6E342A65,20251202172807,YISHUN MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17821,SERANGOON MRT STATION,Exit G,40A841F72D73A02C,20251202172807,SERANGOON MRT STATION,"['Circle Line', 'North East Line']",2,"[""Circle Line"", ""North East Line""]",True
17822,SERANGOON MRT STATION,Exit B,DA4475EAB2A9601C,20251202172807,SERANGOON MRT STATION,"['Circle Line', 'North East Line']",2,"[""Circle Line"", ""North East Line""]",True
17823,SERANGOON MRT STATION,Exit E,12758F1DDC8CF6B8,20251202172807,SERANGOON MRT STATION,"['Circle Line', 'North East Line']",2,"[""Circle Line"", ""North East Line""]",True
17824,TAI SENG MRT STATION,Exit A,54874BD41781B357,20251202172807,TAI SENG MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
17825,EUNOS MRT STATION,Exit C,CB562FEDBA333355,20251202172807,EUNOS MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17826,SEMBAWANG MRT STATION,Exit C,CBDA244C9326B8C6,20251202172807,SEMBAWANG MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17827,HOUGANG MRT STATION,Exit B,6D19186EFE5FD5FB,20251202172807,HOUGANG MRT STATION,['North East Line'],1,"[""North East Line""]",True
17828,CHANGI AIRPORT MRT STATION,Exit A,2D491EF64CB58C02,20251202172807,CHANGI AIRPORT MRT STATION,['Changi Airport Branch Line'],1,"[""Changi Airport Branch Line""]",True
17829,CHANGI AIRPORT MRT STATION,Exit B,18E22F13F5B553EB,20251202172807,CHANGI AIRPORT MRT STATION,['Changi Airport Branch Line'],1,"[""Changi Airport Branch Line""]",True
