specification,bandwidth_m,sample_size,cutoff_coef_log_points,cutoff_std_err,cutoff_p_value,cutoff_premium_pct,cutoff_price_jump_sgd_at_local_mean_price,cutoff_price_jump_sgd_at_local_median_price,local_mean_resale_price,local_median_resale_price,cutoff_ci_low_pct,cutoff_ci_high_pct,r_squared,boundary_school_name,school_group,inside_n,outside_n
controlled,200,2955,-0.007196281035298369,0.00604115768791175,0.23357157148972918,-0.007170449805000478,-3429.344826859564,-3262.5546612752178,478260.76747208124,455000.0,-0.01885689176648553,0.0046551899193523205,0.963909298354204,AHMAD IBRAHIM PRIMARY SCHOOL,non_good,1247,1708
uncontrolled,200,2955,-0.0643326592883008,0.024468596790841055,0.008558781363438517,-0.06230698464974216,-29798.986297456868,-28349.678015632682,478260.76747208124,455000.0,-0.10621596894895535,-0.016240880917637313,0.15657625088755445,AHMAD IBRAHIM PRIMARY SCHOOL,non_good,1247,1708
controlled,300,4695,-0.014393152049413917,0.005277579765636662,0.006386930335154461,-0.01429006580774761,-6879.692754924127,-6573.4302715639005,481431.8455548456,460000.0,-0.024433751029573014,-0.004040909173818497,0.9614401751247923,AHMAD IBRAHIM PRIMARY SCHOOL,non_good,1848,2847
uncontrolled,300,4695,-0.14037166410229154,0.02037616604874322,5.6180974322908864e-12,-0.1309648138127072,-63050.632016598356,-60243.81435384531,481431.8455548456,460000.0,-0.16498780509211597,-0.0955555386650413,0.16924720402486226,AHMAD IBRAHIM PRIMARY SCHOOL,non_good,1848,2847
controlled,500,7876,-0.01633225092126564,0.004152396817338305,8.381876067260232e-05,-0.016199602840221927,-7738.456538500298,-7336.605731102428,477694.2135449467,452888.0,-0.02417396246206638,-0.008160077493204798,0.9625413065997054,AHMAD IBRAHIM PRIMARY SCHOOL,non_good,3157,4719
uncontrolled,500,7876,-0.19711820980892014,0.015469468015824233,3.436406310239648e-37,-0.17890643373794124,-85462.56816257695,-81024.57696270873,477694.2135449467,452888.0,-0.20342848501876454,-0.15362948350867445,0.17514242691309778,AHMAD IBRAHIM PRIMARY SCHOOL,non_good,3157,4719
controlled,100,759,-0.022803376191825694,0.011467778726398828,0.04675932684696495,-0.022545344263405043,-12607.095176208315,-11949.032459604672,559188.4084321476,530000.0,-0.044270372635838884,-0.000326476583002111,0.9741843215104555,AI TONG SCHOOL,good,331,428
uncontrolled,100,759,0.24162115016333244,0.04823242598238758,5.456685238811335e-07,0.2733117074948117,152832.7387198964,144855.2049722502,559188.4084321476,530000.0,0.15845311685632568,0.39955832553941306,0.048581624815640656,AI TONG SCHOOL,good,331,428
controlled,200,1769,-0.025553773427840466,0.008121852260523879,0.0016535102558154857,-0.02523003916574751,-17022.08109546904,-15642.624282763456,674675.1752402487,620000.0,-0.04062438182833494,-0.009588675647590805,0.9747748559206493,AI TONG SCHOOL,good,509,1260
uncontrolled,200,1769,0.1603069755214373,0.03804021721268305,2.5072663255794314e-05,0.1738711654012981,117306.55898634705,107800.12254880482,674675.1752402487,620000.0,0.08953189490608326,0.26473903095731033,0.03375313001350688,AI TONG SCHOOL,good,509,1260
