term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
C(month_period)[T.2017-04],-0.004052306934614371,0.004762439718493755,-0.8508888666618163,0.3948331308589043,-0.013386630435398299,0.005282016566169558
C(month_period)[T.2017-05],-0.0019512436584458587,0.004623506906655754,-0.42202676406451395,0.67300639100419,-0.0110132605501753,0.0071107732332835825
C(month_period)[T.2017-06],0.0015619068203026917,0.004814272998217432,0.3244325406724992,0.7456112667667979,-0.007874009273699497,0.010997822914304881
C(month_period)[T.2017-07],-0.004297943782459186,0.004766169746057398,-0.9017605354938248,0.36718626358504464,-0.013639578091569082,0.005043690526650709
C(month_period)[T.2017-08],-0.01119467788568225,0.004683085836825788,-2.3904490064333395,0.01682962776675475,-0.02037346875060827,-0.002015887020756231
C(month_period)[T.2017-09],-0.016077318593502962,0.004804625355548188,-3.346216906368677,0.0008195248758219905,-0.025494325426072405,-0.00666031176093352
C(month_period)[T.2017-10],-0.012566624119218023,0.004809122670724316,-2.6130803848522595,0.008974364503263894,-0.02199244563443341,-0.003140802604002634
C(month_period)[T.2017-11],-0.011668700755968,0.004731209270935101,-2.466325222105793,0.013652400293434548,-0.020941812962159637,-0.002395588549776364
C(month_period)[T.2017-12],-0.020730048774989268,0.004996173919306997,-4.149184778152131,3.339373472645797e-05,-0.030522488445751308,-0.010937609104227228
C(month_period)[T.2018-01],-0.01454691625867276,0.00535589633612678,-2.716056350932409,0.006607604291275703,-0.02504440745922963,-0.004049425058115889
C(month_period)[T.2018-02],-0.0184773566782947,0.005189287529388384,-3.5606731316490503,0.00037007718396228157,-0.028648296658867277,-0.008306416697722118
C(month_period)[T.2018-03],-0.013939377246584783,0.004698621792460953,-2.9666948867752745,0.0030109081014543107,-0.023148618394215552,-0.004730136098954016
C(month_period)[T.2018-04],-0.015959371802894584,0.004712256170423604,-3.3867793315361996,0.0007074550913094202,-0.025195336164289324,-0.006723407441499844
C(month_period)[T.2018-05],-0.015453468543177057,0.004756804008396977,-3.2487082746940446,0.0011596861560632425,-0.024776746121217715,-0.0061301909651363985
C(month_period)[T.2018-06],-0.013041121680309804,0.004623088437704856,-2.8208678799975764,0.004790337080858664,-0.022102318378022394,-0.003979924982597215
C(month_period)[T.2018-07],-0.018616980138277187,0.0044064289671538305,-4.224958640443519,2.391963901282057e-05,-0.027253526928132998,-0.009980433348421375
C(month_period)[T.2018-08],-0.019911721797207113,0.004618033154864964,-4.311732100976948,1.6213568046496724e-05,-0.028963010202488773,-0.010860433391925453
C(month_period)[T.2018-09],-0.02152113152216135,0.0046626019055990104,-4.615691401043278,3.922754311721706e-06,-0.030659774132843633,-0.012382488911479068
C(month_period)[T.2018-10],-0.01930845350472392,0.004655733118742787,-4.147242338052634,3.367816314677026e-05,-0.02843363337732157,-0.010183273632126266
C(month_period)[T.2018-11],-0.01776319600075317,0.0047732226524217535,-3.7214262342739852,0.00019820933918243195,-0.027118653919927876,-0.008407738081578462
C(month_period)[T.2018-12],-0.015213469499444354,0.005029643267727287,-3.024761139037753,0.002488928079019205,-0.025071508683057395,-0.0053554303158313155
C(month_period)[T.2019-01],-0.018040194013114172,0.004882797514806519,-3.694643072625758,0.00022031336571295447,-0.027610417320096618,-0.008469970706131726
C(month_period)[T.2019-02],-0.016201252977313563,0.005040827143119074,-3.214006851916933,0.0013093812560116427,-0.026081212419674236,-0.00632129353495289
C(month_period)[T.2019-03],-0.015849911056517715,0.0048390410593965654,-3.2754239656098765,0.001055394465341393,-0.025334372246982848,-0.0063654498660525825
C(month_period)[T.2019-04],-0.02066301945306817,0.004657092838494572,-4.436892320950078,9.136437182894133e-06,-0.029790864359720594,-0.01153517454641575
C(month_period)[T.2019-05],-0.022371094175450287,0.004602089509145692,-4.861073243141492,1.1692800948930207e-06,-0.031391133230457204,-0.013351055120443373
C(month_period)[T.2019-06],-0.015693460856040883,0.004698093439019068,-3.340389257842768,0.0008369168445943321,-0.024901666437398724,-0.006485255274683041
C(month_period)[T.2019-07],-0.02234580349506758,0.0046174469762436925,-4.839428283645601,1.3040717717595877e-06,-0.031395942997433174,-0.013295663992701993
C(month_period)[T.2019-08],-0.020123917319248452,0.004709734297735958,-4.2728349514159065,1.93181803409062e-05,-0.02935493884107236,-0.010892895797424544
C(month_period)[T.2019-09],-0.01522073285484287,0.0047782978964858265,-3.1853880156858527,0.0014460446708164756,-0.024586138190203347,-0.005855327519482395
C(month_period)[T.2019-10],-0.01544291505438209,0.004600675254113648,-3.356662707408866,0.0007891871111787316,-0.02446018218685307,-0.006425647921911108
C(month_period)[T.2019-11],-0.014364063510663567,0.004726609451975742,-3.038978290169358,0.002374433435651448,-0.023628160128049962,-0.005099966893277172
C(month_period)[T.2019-12],-0.01448386601012508,0.004779628293990668,-3.030333138737035,0.0024434664055407117,-0.023851878908295557,-0.0051158531119546
C(month_period)[T.2020-01],-0.014643581405048862,0.004641295137109897,-3.1550636131636565,0.0016051072317471383,-0.0237404630105343,-0.005546699799563426
C(month_period)[T.2020-02],-0.008851554086137983,0.004803282578434417,-1.8428135221274156,0.06535920488223078,-0.01826592909201559,0.0005628209197396251
C(month_period)[T.2020-03],-0.007722332989770209,0.0046176496975332965,-1.6723514115623375,0.09445818100610502,-0.016772869823379763,0.0013282038438393456
C(month_period)[T.2020-04],-0.008352025929710044,0.0071044466012148795,-1.175605419890386,0.23975539242185648,-0.02227665422731681,0.005572602367896725
C(month_period)[T.2020-05],-0.010699588627141557,0.0077709715338602795,-1.3768662747663507,0.1685566834192673,-0.025930597626742408,0.004531420372459296
C(month_period)[T.2020-06],-0.003898836604356637,0.004439685339848624,-0.8781785883252646,0.37984892335377857,-0.012600565477250764,0.00480289226853749
C(month_period)[T.2020-07],-0.00501152296140954,0.004472668197594828,-1.1204772498224842,0.2625131375463719,-0.013777897831393741,0.0037548519085746617
