address_key,query,latitude,longitude,x_svy21,y_svy21,matched_address,match_score,error
TOA PAYOH|5|UPP ALJUNIED LANE,5 UPP ALJUNIED LANE SINGAPORE,1.333728659826669,103.8798984739815,33183.85537693184,35102.50445469841,5 UPPER ALJUNIED LANE JOO SENG GREEN SINGAPORE 360005,3.0,
TOA PAYOH|194|KIM KEAT AVE,194 KIM KEAT AVE SINGAPORE,1.330939336755282,103.8581819093165,30767.03163902555,34794.04031503387,194 KIM KEAT AVENUE KIM KEAT VIEW SINGAPORE 310194,4.5,
TOA PAYOH|26|TOA PAYOH EAST,26 TOA PAYOH EAST SINGAPORE,1.332918370326454,103.8567631125276,30609.13213381264,35012.87017950974,26 TOA PAYOH EAST SINGAPORE 310026,6.0,
TOA PAYOH|73|LOR 4 TOA PAYOH,73 LOR 4 TOA PAYOH SINGAPORE,1.334320011596357,103.8517143287544,30047.25396174379,35167.85173002072,73 LORONG 4 TOA PAYOH TOA PAYOH VISTA SINGAPORE 310073,3.0,
TOA PAYOH|3|LOR 7 TOA PAYOH,3 LOR 7 TOA PAYOH SINGAPORE,1.33919545395688,103.8544508838635,30351.79921475332,35706.95566578209,3 LORONG 7 TOA PAYOH KIM KEAT COURT SINGAPORE 310003,3.0,
TOA PAYOH|113|LOR 1 TOA PAYOH,113 LOR 1 TOA PAYOH SINGAPORE,1.341283340168318,103.8446054846958,29256.11064432841,35937.81620628201,113 LORONG 1 TOA PAYOH TOA PAYOH NORTH SINGAPORE 310113,3.0,
TOA PAYOH|128|LOR 1 TOA PAYOH,128 LOR 1 TOA PAYOH SINGAPORE,1.337812953539955,103.8443319288758,29225.66855916847,35554.07846657001,128 LORONG 1 TOA PAYOH SINGAPORE 310128,3.0,
TOA PAYOH|116|LOR 2 TOA PAYOH,116 LOR 2 TOA PAYOH SINGAPORE,1.340472872418055,103.8461425163342,29427.16612866521,35848.19966813177,116 LORONG 2 TOA PAYOH TOA PAYOH VIEW SINGAPORE 310116,3.0,
TOA PAYOH|115|LOR 1 TOA PAYOH,115 LOR 1 TOA PAYOH SINGAPORE,1.340631406685436,103.8443052219863,29222.69497191254,35865.72858393379,115 LORONG 1 TOA PAYOH TOA PAYOH NORTH SINGAPORE 310115,3.0,
TOA PAYOH|117|LOR 1 TOA PAYOH,117 LOR 1 TOA PAYOH SINGAPORE,1.340020636278538,103.845413792089,29346.06721300818,35798.19329660386,117 LORONG 1 TOA PAYOH TOA PAYOH VIEW SINGAPORE 310117,3.0,
TOA PAYOH|207|TOA PAYOH NTH,207 TOA PAYOH NTH SINGAPORE,1.342382311064402,103.8455981406121,29366.58191406447,36059.33532034233,207 TOA PAYOH NORTH NEIGHBOURHOOD POLICE POST BOON TECK SINGAPORE 310207,3.0,
TOA PAYOH|109|LOR 1 TOA PAYOH,109 LOR 1 TOA PAYOH SINGAPORE,1.341237271208272,103.8462024608115,29433.83685932867,35932.72301266156,109 LORONG 1 TOA PAYOH TOA PAYOH NORTH SINGAPORE 310109,3.0,
TOA PAYOH|158|LOR 1 TOA PAYOH,158 LOR 1 TOA PAYOH SINGAPORE,1.331434290389403,103.8451194268562,29313.31207880098,34848.75895760581,158 LORONG 1 TOA PAYOH CARE CORNER FAMILY SERVICE CENTRE (TOA PAYOH) SINGAPORE 310158,3.0,
TOA PAYOH|105|POTONG PASIR AVE 1,105 POTONG PASIR AVE 1 SINGAPORE,1.334423732276835,103.868696835165,31937.22878620867,35179.34127503261,105 POTONG PASIR AVENUE 1 SINGAPORE 350105,3.0,
TOA PAYOH|146|POTONG PASIR AVE 1,146 POTONG PASIR AVE 1 SINGAPORE,1.331800782653894,103.8672428492814,31775.41938393004,34889.30661448836,146 POTONG PASIR AVENUE 1 SINGAPORE 350146,3.0,
