blk_no,postal_code,entity_id,latitude,longitude,bus_stop_num,bus_roof_num,bus_stop_latitude,bus_stop_longitude,euclidean_distance_to_nearest_bus_stop_km,nearest_bus_stop_estimated_walking_km,walking_time_to_nearest_bus_stop_mins
230,524230,13181,1.3559008688764516,103.95275413456513,76229,B10,1.3561483660952136,103.95340194375504,0.0772,0.0926,1.16
61,600061,4400,1.322402001344574,103.73861915465291,20239,B06,1.3225191143709873,103.73946248801312,0.0948,0.1137,1.42
271B,642271,6845,1.3505676778692524,103.70434049430874,27451,B02,1.351265945384967,103.7040957231267,0.0824,0.0988,1.24
250,680250,10731,1.3792736137418222,103.74544878356193,44459,B05,1.3803103738758788,103.74451424982638,0.1554,0.1864,2.33
117A,751117,11054880,1.4450462321410256,103.83041305028628,58611,NIL,1.4463419703484017,103.82995418165991,0.153,0.1836,2.3
461D,654461,11055633,1.354451919685985,103.74035981966225,40351,B08,1.3550241985321845,103.74093403267308,0.0902,0.1083,1.35
327A,821327,11053513,1.412506125276197,103.89905626013464,65671,NIL,1.411255006454345,103.89877323016718,0.1428,0.1714,2.14
698C,533698,7187,1.37536472266661,103.88831412679954,64351,B07,1.374761710250304,103.88801712430622,0.0748,0.0898,1.12
647,730647,1859,1.4378863008865217,103.80102209936246,46871,B05,1.4368966563807481,103.80182927952393,0.1421,0.1706,2.13
131,460131,10590,1.3269971368083502,103.93583043007793,84191,NIL,1.3257468153766165,103.93531697913721,0.1505,0.1806,2.26
550,460550,4991,1.332410766237805,103.92653931846232,84409,B05,1.3329118498108579,103.92665045568022,0.0571,0.0686,0.86
177,610177,3885,1.3333320464133944,103.72140726325982,21199,B06,1.3332569628306044,103.72055793918433,0.0949,0.1139,1.42
431A,761431,1637,1.4197340876269748,103.84729232902734,59581,B01,1.4191665796448767,103.84605394704181,0.1516,0.1819,2.27
340,120340,9155,1.3187284708911584,103.77007719172448,17111,B13,1.3179248572410662,103.77121949965739,0.1554,0.1865,2.33
406,560406,3731,1.3619776913233688,103.85386033896305,54319,B02,1.3619196643597231,103.85300270249544,0.0957,0.1148,1.43
531,670531,3315,1.3855670452010405,103.76428582390218,44721,B07A,1.3865836814822863,103.76477845053068,0.1258,0.1509,1.89
131,160131,8473,1.2802089530037204,103.82835511663389,10079,B06,1.2803683344251096,103.82714566465437,0.1358,0.1629,2.04
875,520875,6211,1.3526506584615534,103.93197858518978,75111,B02,1.3530614134460548,103.93195112262035,0.0458,0.055,0.69
63A,601063,10044,1.3211301202230206,103.73898122881107,20179,B24,1.3199743206279917,103.7391754794418,0.1305,0.1566,1.96
7,190007,5422,1.3044247972041898,103.8637024991388,01329,B15,1.3049204339935652,103.86357489073806,0.057,0.0684,0.85
856A,521856,8873,1.3523600087193715,103.93807159506983,76049,B02,1.351468647707098,103.93646624247693,0.2044,0.2452,3.07
332,400332,6234,1.3269132747107828,103.90263983046242,71101,B01,1.3282117333588355,103.9028898550298,0.1472,0.1766,2.21
742,730742,10899,1.4440070685781927,103.79602227677694,46831,B03,1.4436250666960166,103.79564504173186,0.0598,0.0717,0.9
338,650338,5734,1.3633875760197263,103.750832642127,43581,B05,1.362579387705694,103.75135910154373,0.1074,0.1288,1.61
58,330058,3755,1.3232638431865338,103.86794610432693,60159,B07,1.3240129285151943,103.86757804390012,0.0929,0.1115,1.39
507,680507,11693,1.3890122153797035,103.74139232225681,45249,B12,1.3884998605572325,103.74087176489255,0.0813,0.0976,1.22
455,530455,413,1.3774543631003155,103.89538703403201,64021,B09,1.3779639029539443,103.8966353085986,0.1501,0.1801,2.25
661C,823661,10112,1.4021633625145842,103.9173323911746,65379,B15,1.402839198049955,103.91645748925073,0.123,0.1477,1.85
120A,311120,3929,1.3396402853221414,103.84587069329461,52201,B05,1.3391928565759175,103.84654415274612,0.09,0.108,1.35
547,560547,1684,1.3742051418875423,103.85821873686568,54439,B03,1.373278473631227,103.85709066217883,0.1625,0.195,2.44
766,730766,9247,1.4461177359624244,103.7972367323125,46801,NIL,1.4465234958197357,103.79754239408925,0.0565,0.0679,0.85
451B,652451,10014,1.3525347127797667,103.74328452340407,40301,B06,1.3534295861261374,103.74273703393604,0.1168,0.1401,1.75
216,550216,5812,1.3575381834317406,103.87312969577576,63361,B01,1.3575146603392851,103.8738199344125,0.0769,0.0922,1.15
570,730570,10974,1.4309216514924112,103.78992420443315,46979,B12,1.43130362503386,103.79062281926917,0.0886,0.1063,1.33
519,550519,5196,1.371749242273492,103.87465332768849,66431,B03,1.3730518970400487,103.87526847835029,0.1604,0.1924,2.41
104C,562104,9715,1.3719216227073598,103.83827643877358,54189,B02,1.370376075281758,103.83680143382324,0.2378,0.2854,3.57
217,510217,3818,1.3694152100949522,103.96089217005589,78161,B02,1.3689790829337103,103.96047824715693,0.0669,0.0803,1.0
452,510452,4442,1.3715320539226847,103.95737300479779,78241,B03,1.3720931507822864,103.95760000813135,0.0674,0.0809,1.01
111,320111,7289,1.3212636354807843,103.85838218086413,50349,B01,1.3192413077760694,103.85961316111734,0.2635,0.3162,3.95
475,640475,11952,1.3480991259290798,103.72507225431801,28581,B07,1.3491757939646387,103.72566366107716,0.1367,0.1641,2.05
172,310172,9016,1.3303896066672514,103.84305595010757,52071,B06,1.3299302810700797,103.843904586082,0.1074,0.1289,1.61
272A,511272,4515,1.364857351215282,103.96505258473105,98021,B03,1.3648153445093365,103.96548521453838,0.0484,0.058,0.73
623B,522623,11051981,1.3613853339691595,103.94094956338178,76541,NIL,1.3602496326126685,103.94063255681698,0.1313,0.1575,1.97
23,163023,4302,1.2847369861915807,103.82689522844008,10161,B07,1.2859337620252336,103.82654097425423,0.1389,0.1667,2.08
219,670219,9651,1.3741869406328915,103.7726867485013,44371,B03,1.3739929248200622,103.77268395472286,0.0216,0.0259,0.32
572B,732572,11496,1.4316125739204038,103.78963592003119,46971,B11,1.431861228016955,103.79040614541958,0.0901,0.1081,1.35
827,520827,908,1.3496393659671964,103.93376684909249,75089,B03,1.3497534215845222,103.93411969989724,0.0413,0.0495,0.62
473B,532473,11051637,1.3760464461473225,103.90112085985274,64061,B35,1.3756147173760847,103.90119995250248,0.0489,0.0586,0.73
493A,520493,6899,1.3625598898709759,103.9524586737796,76359,B06,1.362131701872219,103.9522384342441,0.0536,0.0643,0.8
304,730304,9732,1.4300399918944455,103.77382225872289,46591,B10,1.4306222374153594,103.77323757059158,0.0918,0.1102,1.38
461B,762461,11052426,1.4286299156872653,103.85055965314939,59609,NIL,1.428745501608678,103.84954589324914,0.1135,0.1363,1.7
211A,461211,1038,1.325545981294716,103.93149534768142,84091,NIL,1.325787052867784,103.93010848049096,0.1567,0.188,2.35
32,160032,158,1.2874482381183727,103.82842322111091,10169,B06,1.286013565638075,103.82752942654784,0.1882,0.2258,2.82
146A,681146,12856,1.3810365213285443,103.75307406507667,44289,B04,1.3813788837515335,103.75389071717953,0.0986,0.1183,1.48
140C,613140,11052738,1.3274010680315596,103.72417385855773,21771,B01,1.3265970095441553,103.7238334808554,0.0972,0.1166,1.46
464,650464,12163,1.3575748454200387,103.74214644650544,40369,B10,1.3575278894923122,103.74141370923017,0.0817,0.0981,1.23
961,530961,671,1.3776794173154108,103.87876134942228,66489,B02,1.3788907038542815,103.8789124485516,0.1359,0.1631,2.04
508,550508,2887,1.3718807719161084,103.87584633198144,64101,B15,1.3722040992994258,103.87657424808577,0.0886,0.1064,1.33
411B,792411,9934,1.390160633983316,103.87704959975888,67489,B03,1.3909843520092906,103.87698409750503,0.092,0.1104,1.38
602,560602,9387,1.380733576214544,103.83533881727833,55129,B28,1.3794769745773767,103.83552618628894,0.1414,0.1697,2.12
603C,823603,1045,1.4034139804307042,103.90787996591334,65099,B20,1.4044815491082883,103.9071514018568,0.1439,0.1726,2.16
654A,641654,7252,1.3361162361262002,103.6984132645536,22541,B36,1.3349823469654718,103.69766530316728,0.1512,0.1814,2.27
210,600210,5847,1.3388347666841165,103.73878010506832,28079,B12,1.3384008683895934,103.73860385781498,0.0521,0.0626,0.78
3,130003,7448,1.3037614272877716,103.7824619684771,19089,B03,1.3036904240984217,103.78179678214047,0.0745,0.0893,1.12
256B,822256,10218,1.4060534674992027,103.89606559863248,65149,B01,1.4049714796290538,103.89698300022707,0.1579,0.1895,2.37
921,530921,8418,1.3763769707413405,103.88416782481725,64609,B05,1.3759151023290586,103.88470559642883,0.0789,0.0947,1.18
443B,652443,11071,1.3560796786520162,103.73784722613753,43759,B13,1.3559376501682614,103.73689074585387,0.1076,0.1291,1.61
286,650286,5533,1.346687614470489,103.75827583243374,43199,B04,1.3466364480507969,103.75921443577283,0.1046,0.1255,1.57
547B,462547,11054923,1.3297365094200435,103.9253927424492,84361,B04,1.3294253529218314,103.92460003921195,0.0948,0.1137,1.42
202,120202,11166,1.3206039441053954,103.76271126548737,20109,B20,1.3208136915062183,103.7620904048219,0.0729,0.0875,1.09
352A,751352,793,1.450656339608583,103.81965238890912,58421,B03,1.4512748792215666,103.81900133250986,0.1,0.1199,1.5
33A,462033,7019,1.3232355903139257,103.93921888237611,84051,B09,1.325317347415053,103.93962183162557,0.236,0.2832,3.54
633,520633,12641,1.3654417858974763,103.94126559746331,75569,NIL,1.3658795388645995,103.94160607300068,0.0617,0.0741,0.93
829,640829,11055054,1.3449605456180993,103.6940524234382,27419,B04,1.3457240548453102,103.69287714740672,0.156,0.1872,2.34
144,350144,11193,1.3326214708801618,103.86556124525747,61089,B01,1.3329868246492356,103.86530495295868,0.0497,0.0596,0.75
809,680809,6331,1.3751007855400843,103.74454419477016,44091,B06,1.376446402031875,103.74403600058308,0.1601,0.1921,2.4
212,360212,12839,1.3427912551477432,103.87548106048985,62091,B08,1.3436451259809907,103.87507910119199,0.1051,0.1261,1.58
126,470126,2423,1.332727839779289,103.9108854348153,72071,B05,1.3322112398444612,103.9118748940949,0.1242,0.1491,1.86
931,530931,6983,1.3755664953417166,103.88053757989556,64481,B04,1.3751786730805562,103.88094986233273,0.063,0.0756,0.95
149,160149,2601,1.2772826960138026,103.83180649421975,10051,B01,1.2774220273661343,103.8321581447452,0.0421,0.0505,0.63
55,600055,9790,1.3218724037702798,103.73742049355045,20249,B01,1.321610578176037,103.73671938377937,0.0833,0.1,1.25
726,120726,12248,1.30389091477601,103.76422083546622,17041,B07,1.3042386953515288,103.76452004761921,0.0511,0.0613,0.77
465A,121465,12307,1.3093692596923516,103.76756501071567,16891,B01,1.3098696093762048,103.76816610826921,0.087,0.1045,1.31
104C,753104,11050787,1.4497075468381628,103.8318185593704,58511,B01,1.4496060765870433,103.83150492842177,0.0367,0.044,0.55
897B,731897,9316,1.436126042487344,103.79393450026734,46679,B04,1.4367592025478744,103.7947635180098,0.1161,0.1393,1.74
615,530615,12862,1.3686616551692146,103.88503630270604,63331,B04,1.3683804569017812,103.88499674202632,0.0316,0.0379,0.47
661A,731661,1968,1.4358412380025034,103.79838206335977,46851,B01,1.4360565179908273,103.79761524668167,0.0886,0.1064,1.33
171,730171,178,1.4340176594339122,103.77652209259925,46571,B06,1.4348226484432651,103.7758895968186,0.1139,0.1367,1.71
334,550334,2621,1.3500973474150038,103.87081367999488,66381,B01,1.3502900310052086,103.87121939412813,0.05,0.06,0.75
38A,331038,1020,1.3201146778524706,103.86686208699433,60021,B03,1.318240586718213,103.86667455505065,0.2097,0.2516,3.14
2,130002,2514,1.3031301662987875,103.78292063589511,19081,B04,1.302737506629831,103.78275066249978,0.0476,0.0572,0.71
446,790446,5195,1.3921203483061193,103.8732661617798,68029,B06,1.393042003234867,103.87269356692688,0.1208,0.1449,1.81
771,730771,9248,1.446854028098077,103.79803060335537,46809,NIL,1.4464911873681012,103.79811269349322,0.0414,0.0497,0.62
413A,731413,9419,1.4279397617831564,103.77226704636357,46369,B02,1.4275953588400794,103.77317499584873,0.1081,0.1297,1.62
2,431002,3082,1.3031200605679494,103.8839254533392,91091,B08,1.3032897125165381,103.88435841781136,0.0518,0.0621,0.78
188A,731188,12910,1.4382187443824719,103.7740754402188,46011,B08,1.4385174635250684,103.77426569910422,0.0394,0.0473,0.59
621,670621,329,1.3861485617727618,103.7628251777402,44829,B02,1.3866127764839329,103.76308620735959,0.0593,0.0711,0.89
425,750425,1278,1.4543447203038733,103.81854446537044,58121,B07,1.4533597979022486,103.81924069357645,0.1343,0.1611,2.01
579,530579,7270,1.379023193966797,103.8860877316949,64461,B06,1.3794006086100266,103.88637466185492,0.0528,0.0633,0.79
233A,311233,7335,1.338438623969979,103.85889178312615,52391,B03,1.3376486919967456,103.85987970089353,0.1408,0.1689,2.11
635,410635,7466,1.330734613740603,103.90483212057637,71091,B02,1.3306610961858525,103.90374974575606,0.1207,0.1449,1.81
184,570184,12490,1.350136269322553,103.85249129432191,53279,B04,1.3496355056269522,103.8539492617721,0.1716,0.2059,2.57
337A,611337,2888,1.3377470028358942,103.72287463029322,21679,B02,1.3377340057178995,103.72353825894756,0.0739,0.0886,1.11
271,680271,11460,1.3786396724827472,103.74233017657772,44571,B02,1.3783501808813248,103.7430458628378,0.0859,0.1031,1.29
106A,101106,11009,1.2805744091439304,103.811032944042,14191,B01,1.2811907954780832,103.81215551304787,0.1425,0.171,2.14
243,570243,7683,1.3610874825421957,103.8446627925834,53379,B06,1.3601297974922977,103.84392108252787,0.1348,0.1618,2.02
128,460128,2965,1.327732480603333,103.93901756788176,84241,B16,1.3285303491299605,103.94002516865656,0.143,0.1717,2.15
436A,791436,7590,1.3928341519904126,103.87650257962969,67639,NIL,1.3929317738732567,103.87595243367754,0.0622,0.0746,0.93
169C,823169,4162,1.393586685922275,103.91421420809836,65231,NIL,1.3943649981752917,103.9158216309141,0.1988,0.2385,2.98
711,730711,5994,1.441307595273675,103.79748996614136,46821,B01,1.4421496181419322,103.7975211846199,0.0938,0.1126,1.41
628,530628,7066,1.369531096121499,103.88068007491674,63399,B16,1.3701603594520222,103.8802600772073,0.0842,0.1011,1.26
213C,823213,11053529,1.4006888803333521,103.89890411806316,65341,NIL,1.4020372261797829,103.90046040504392,0.2292,0.275,3.44
699C,533699,8405,1.3764370852941155,103.88852270443435,64359,B08,1.3753287788185162,103.88918628540692,0.1438,0.1725,2.16
6,430006,9975,1.3131781585964977,103.89721470343105,82099,B05,1.3128745797782746,103.89426315521727,0.3302,0.3963,4.95
301C,543301,2471,1.3887350108631498,103.89097914255451,67279,B01,1.388171488197865,103.89169473064418,0.1014,0.1217,1.52
333A,541333,9695,1.3946508948087597,103.89095365955605,67391,B11,1.3942126091013254,103.89152358385839,0.08,0.096,1.2
7,391007,8724,1.3076670938068828,103.88253744875426,81171,B01,1.307586126480634,103.885048721762,0.2796,0.3356,4.19
181,310181,2748,1.333580393462125,103.8509503068387,52261,B03,1.3340755883830309,103.8512738572543,0.0658,0.079,0.99
406,750406,423,1.4530434910405856,103.81701800461836,58341,B10,1.4526766600082972,103.81688911265833,0.0433,0.0519,0.65
724,730724,11126,1.4448335686525793,103.79885134741313,46811,B01,1.4439038671915594,103.7992707788521,0.1135,0.1362,1.7
690A,681690,11403,1.402870223093479,103.75154905791014,45421,B03,1.4027214605556177,103.75055645918066,0.1117,0.134,1.68
62B,143062,11054951,1.294468562783441,103.81093248514195,10301,B03,1.2962774366360905,103.8109118903091,0.2014,0.2417,3.02
679A,821679,9802,1.4059937858873057,103.90830013830694,65309,NIL,1.4049331203470914,103.90928099354693,0.1608,0.193,2.41
349,650349,5449,1.3620467593546055,103.74956986576437,43659,B01,1.3637943756319948,103.74922614594027,0.1983,0.2379,2.97
212A,541212,9664,1.3864207528647237,103.90008716267333,67171,B05,1.3873108874225044,103.89903683881718,0.1532,0.1839,2.3
664,730664,9725,1.4363284301519221,103.79787808140597,46851,B01,1.4360565179908273,103.79761524668167,0.0421,0.0505,0.63
19,440019,5815,1.3045751595698998,103.91493359109597,92221,B02,1.304986242959518,103.9149428374241,0.0458,0.0549,0.69
307,760307,1627,1.4306986881212655,103.84084798410069,59381,B12,1.431862788381568,103.84189946899978,0.1746,0.2095,2.62
35,440035,4563,1.3032130523284502,103.91271713210791,92239,B02,1.3043789180207204,103.91270438244058,0.1298,0.1558,1.95
185A,541185,9043,1.39327652536207,103.90712313877887,67671,NIL,1.3918939107587631,103.90711634243492,0.1539,0.1847,2.31
322A,821322,11053275,1.4114662160739,103.89708384164035,65451,B05,1.4107633370904424,103.89753131318957,0.0927,0.1113,1.39
613A,471613,4728,1.3326625566033359,103.9176351430691,84501,B31,1.333115848532838,103.9159962539621,0.1892,0.2271,2.84
143,730143,265,1.436742297216727,103.77677249322412,46071,B06,1.4386706520333885,103.776865831771,0.2149,0.2579,3.22
568,680568,11416,1.3957649477695118,103.74628604215785,45279,B02,1.395626169489354,103.74535897166479,0.1043,0.1252,1.56
617A,821617,1832,1.4024090494270887,103.91180668530338,65319,NIL,1.4025196720463795,103.91259909452185,0.089,0.1068,1.34
836,530836,3076,1.3699630997279326,103.89090230939671,64551,B02,1.3699177087970904,103.89036240590575,0.0603,0.0724,0.9
85,100085,4250,1.2772828352152528,103.80874232385199,14399,B05,1.2776719304777504,103.80851726897873,0.05,0.06,0.75
111,460111,6756,1.3314720631387222,103.93544511356913,84229,B11,1.331590401939022,103.93514951158637,0.0354,0.0425,0.53
131,670131,4866,1.3745537516226871,103.77088495943052,43131,B02,1.37332859050885,103.77010003581181,0.162,0.1944,2.43
182,460182,5303,1.3269456171777967,103.94170851345785,84061,B11,1.3258844666216627,103.94228036133354,0.1342,0.161,2.01
52A,143052,9250,1.302206020315508,103.79695187845682,11459,B04,1.3009057727566675,103.79688561087704,0.1449,0.1739,2.17
250,510250,8650,1.370196382952775,103.9628830796304,78141,B03,1.3701542178172579,103.96364683219444,0.0851,0.1022,1.28
788C,733788,1939,1.4438484051660407,103.80191209441537,46789,B02,1.4435470896195366,103.80107021669747,0.0995,0.1194,1.49
201,560201,6018,1.368812968818611,103.84456682509868,54239,B20,1.3691899345853382,103.84324659431812,0.1528,0.1834,2.29
330,600330,2221,1.3505097800510508,103.73001714705579,28499,B10,1.3495943032913162,103.73050392762113,0.1154,0.1385,1.73
126,530126,11050755,1.352387923595783,103.88567494071232,63309,B03,1.3520239674160575,103.88585662935039,0.0453,0.0543,0.68
510A,671510,7890,1.3868998475140297,103.76916504319186,44619,B01,1.3872227472573495,103.76775983450122,0.1605,0.1926,2.41
403,550403,10160,1.34644189007833,103.87238410077398,62129,B12,1.3469520521922933,103.87203391835584,0.0689,0.0827,1.03
51,310051,11054700,1.3377476884957575,103.85253273109826,52299,B03,1.3371122986794561,103.85235973842624,0.0733,0.088,1.1
49,310049,11054701,1.33768043976284,103.85319386237632,52351,B07,1.338500065925537,103.85314661793282,0.0914,0.1097,1.37
362,120362,6032,1.3126839243293564,103.7699093593228,17159,B12,1.3120225428934915,103.76979804620032,0.0747,0.0896,1.12
63,518707,4342,1.3822688544862498,103.94330290786905,77129,B04,1.3839637799408073,103.94374817523335,0.1951,0.2341,2.93
102,600102,7709,1.3361626229380663,103.73822577391606,28441,B03,1.3358199645386475,103.73885434853571,0.0797,0.0956,1.2
356A,541356,11113,1.3934425146720242,103.88465279297719,67549,B16,1.3944782506111861,103.88642579961505,0.2285,0.2742,3.43
888,520888,10193,1.3508274953525121,103.9310707441959,75109,B01,1.351198076836413,103.9309621168872,0.043,0.0516,0.64
