shopping_centre_name,latitude,longitude,index_right,OBJECTID,LU_DESC,LU_TEXT,GPR,WHI_Q_MX,GPR_B_MN,SHAPE.AREA,SHAPE.LEN
Compass One,1.39205314156706,103.89507054384,37189,38399,COMMERCIAL & RESIDENTIAL,,4.2,,,27086.025611435,850.144250622002
Hougang Mall,1.37248308734511,103.893788141349,98668,99884,COMMERCIAL,,EVA,,,6295.16845478,325.783131617091
Heartland Mall,1.35954450890401,103.885169070198,71901,73392,COMMERCIAL & RESIDENTIAL,,EVA,,,76594.357563455,1788.49612229787
NEX,1.35076935257845,103.872296143862,98753,99694,WHITE,,3.5,,,24306.719784675,797.030524265531
Buangkok Square,1.38433426615655,103.881623070164,38653,37979,COMMERCIAL & RESIDENTIAL,,2.8,,,27394.87295208,639.974995547961
Greenwich V,1.38739539397015,103.869135978173,82580,80408,COMMERCIAL & RESIDENTIAL,,1.4,,,21022.78635873,596.600692816178
Hougang 1,1.35664284566921,103.889828868222,77734,75807,ROAD,,,,,24588.697659285,2025.51013303995
Hougang Green Shopping Mall,1.37931783499145,103.88784708944,110637,112026,COMMERCIAL & RESIDENTIAL,,EVA,,,16525.255519605,597.726041275079
Hougang Rivercourt,1.36220591877146,103.894742116488,22877,24274,COMMERCIAL & RESIDENTIAL,,2.9,,,17816.539954775,556.509085603811
myVillage At Serangoon Garden,1.36511490572797,103.865159501442,94257,92071,COMMERCIAL,,1.4,,,3668.58492015,288.896444652187
Northshore Plaza,1.41676127156324,103.902074379502,74639,75078,COMMERCIAL,,EVA,,,10653.77237929,478.809712132341
Oasis Terraces,1.40278015725693,103.913215101343,61978,62792,COMMERCIAL,,EVA,,,13008.08523045,458.853745792871
Punggol Plaza,1.39423719717117,103.913047323223,30217,27652,COMMERCIAL,,EVA,,,7909.85290274,360.169510978987
Rivervale Mall,1.39219777838449,103.904471600025,13205,13771,COMMERCIAL & RESIDENTIAL,,3.0,,,22536.491297145,635.300279868305
Rivervale Plaza,1.38550420775531,103.901988424927,61724,63163,COMMERCIAL & RESIDENTIAL,,EVA,,,15351.354962055,595.392857665361
The Seletar Mall,1.39147015374628,103.876125507257,37260,38405,COMMERCIAL,,3.0,,,8237.281285505,483.111149641314
Upper Serangoon Shopping Centre,1.35348082277147,103.878828134896,44876,44229,RESIDENTIAL,,2.8,,,3995.851738365,253.054007327049
Beauty World Centre,1.34241264188642,103.776539385406,75323,74204,COMMERCIAL & RESIDENTIAL,,3.0,,,12381.83971619,459.539202942192
Beauty World Plaza,1.34180018619223,103.776259359854,97836,95542,COMMERCIAL & RESIDENTIAL,,3.0,,,2267.679266375,217.174711469955
Bukit Panjang Plaza,1.37988291404114,103.764377765935,11610,11172,COMMERCIAL,,EVA,,,11499.08322189,471.754969170294
Bukit Timah Plaza,1.3386316527745,103.778585430975,42769,45630,COMMERCIAL & RESIDENTIAL,,3.0,,,17783.416736825,582.005048680711
Fajar Shopping Centre,1.38357469942896,103.770868459633,11526,11139,COMMERCIAL & RESIDENTIAL,,EVA,,,12888.620870545,466.099003610151
Greenridge Shopping Centre,1.38540569283271,103.766228468185,14467,13284,COMMERCIAL & RESIDENTIAL,,EVA,,,12167.22308916,435.215972768809
Hillion Mall,1.37841165144214,103.76382945872,11048,11211,COMMERCIAL & RESIDENTIAL,,3.0,,,18954.56812315,626.704738994361
HillV2,1.36267450828024,103.76417292006,11635,10486,COMMERCIAL & RESIDENTIAL,,2.8,,,14309.38615282,507.859005492745
