blk_no,postal_code,entity_id,latitude,longitude,supermarket_name,supermarket_blk_house,supermarket_street,supermarket_postcode,supermarket_latitude,supermarket_longitude,euclidean_distance_to_nearest_supermarket_km,nearest_supermarket_estimated_walking_km,walking_time_to_nearest_supermarket_mins
54,519719,5691,1.383350946340548,103.94348683614797,U STARS PTE. LTD.,625,ELIAS ROAD,510625,1.37860238037503,103.941978177656,0.5546,0.6656,8.32
457,670457,7754,1.3882255980126068,103.77081141098918,SHENG SIONG SUPERMARKET PTE LTD,547,SEGAR ROAD,670547,1.3882402152635,103.769575387874,0.1376,0.1651,2.06
285A,651285,509,1.3467226226637865,103.7577943629694,COLD STORAGE SINGAPORE (1983) PTE LTD,284,BUKIT BATOK EAST AVENUE 3,650284,1.3466990504391,103.757276703167,0.0577,0.0692,0.87
671A,681671,11469,1.4020990185301307,103.74790434858079,NTUC FAIRPRICE CO-OPERATIVE LTD,21,CHOA CHU KANG NORTH 6,689578,1.39730189954737,103.746558069293,0.5546,0.6656,8.32
114,090114,5762,1.2750814454637147,103.8259427485644,NG CHAI SENG,109,BUKIT PURMEI ROAD,90109,1.27392940817544,103.825310769144,0.1463,0.1755,2.19
421,120421,5336,1.3091539519260953,103.76850100894494,SHENG SIONG SUPERMARKET PTE LTD,420A,CLEMENTI AVENUE 1,121420,1.30973331408822,103.768637301316,0.0663,0.0795,0.99
5,430005,9974,1.3125812834251052,103.89658854861787,COLD STORAGE SINGAPORE (1983) PTE LTD,11,TANJONG KATONG ROAD,437157,1.31469214115978,103.894480527876,0.332,0.3985,4.98
883A,731883,2909,1.4431035437588038,103.79109232291837,COLD STORAGE SINGAPORE (1983) PTE LTD,883,WOODLANDS STREET 82,730883,1.44275332239793,103.79054802026,0.072,0.0864,1.08
455A,121455,7992,1.311640516693709,103.76651845379804,NTUC FAIRPRICE CO-OPERATIVE LTD,451,CLEMENTI AVENUE 3,120451,1.31248299329667,103.765476758596,0.1491,0.1789,2.24
78,162078,6661,1.2835439873813979,103.83042930343957,NTUC FAIRPRICE CO-OPERATIVE LTD,18 /20,KIM TIAN ROAD,169252,1.28480734614992,103.829298011427,0.1888,0.2265,2.83
215,640215,2307,1.3487205882777067,103.71235725977616,NTUC FAIRPRICE CO-OPERATIVE LTD,221,BOON LAY PLACE,640221,1.34634819293844,103.712429317152,0.2642,0.3171,3.96
22,460022,5732,1.3228736324662145,103.93284460515805,SHENG SIONG SUPERMARKET PTE LTD,209,NEW UPPER CHANGI ROAD,460209,1.32463573239521,103.931068836576,0.2784,0.3341,4.18
124,460124,9026,1.3292319940108874,103.93907903769546,SHENG SIONG SUPERMARKET PTE LTD,115,BEDOK NORTH ROAD,460115,1.33143368800346,103.936865411478,0.3475,0.417,5.21
856C,523856,202,1.3526105900436456,103.93738434755889,NTUC FAIRPRICE CO-OPERATIVE LTD,51,TAMPINES AVENUE 4,528523,1.35349616014431,103.939683594446,0.2742,0.3291,4.11
174,310174,4719,1.3306657989495512,103.84187467134527,CAVEMEN PTE. LTD.,1,JALAN DUSUN,329363,1.32696540868721,103.843674239785,0.458,0.5496,6.87
202,460202,3497,1.3256664124763475,103.92799107737287,NTUC FAIRPRICE CO-OPERATIVE LTD,311,NEW UPPER CHANGI ROAD,467360,1.32477207902253,103.929267657363,0.1735,0.2082,2.6
